title,author,datepublish,publisher,keywords,abstract,type,category,college
Corporate Law Explained,Karen Legal,2018-10-28,LawInsider,"Law, Business, Contracts","Basic principles of corporate law for students.","Book","History","CollegeOfLaw"
Statistics for Data Science,Nina Stats,2022-08-17,DataPub,"Statistics, Data, Probability","Statistics explained in the context of data science.","Article","Math","CollegeOfComputerScience"
Intro to Philosophy,Mark Thinker,2020-09-30,HumanitiesInc,"Philosophy, Ethics, Logic","Explores human reasoning, logic, and philosophical thought.","Book","History","CollegeOfLaw"
Machine Learning in Practice,Tom Bot,2023-06-02,AIMinds,"ML, AI, Algorithms","Real-world applications of machine learning.","Research","Computer","CollegeOfComputerScience"
Organic Chemistry Essentials,Sarah Bond,2019-01-11,ChemCentral,"Chemistry, Organic, Reactions","Covers key organic chemistry reactions and mechanisms.","Book","Science","CollegeOfEngineering"
AI in Healthcare,Mia Doctor,2022-12-04,MedAI,"AI, Healthcare, Diagnosis","Discusses how AI is changing the medical field.","Article","Computer","CollegeOfComputerScience"
Electric Circuits 101,Dave Volt,2020-04-22,EEPress,"Circuits, Electronics, Voltage","Fundamentals of circuit theory for engineering students.","Book","Science","CollegeOfEngineering"
Ancient Civilizations,Rachel Time,2017-11-13,HistoryNow,"Civilization, Ancient, Culture","An overview of ancient civilizations and their contributions.","Book","History","CollegeOfLaw"
Big Data Analytics,Leo Byte,2021-10-03,TechMinds,"Big Data, Analytics, Hadoop","Techniques and tools for analyzing large datasets.","Research","Computer","CollegeOfComputerScience"
Introduction to Robotics,Aaron Gear,2022-02-20,Robotika,"Robotics, Automation, Control","Explores the basics of robotics and automation.","Book","Computer","CollegeOfEngineering"
Differential Equations Demystified,Eliza Solve,2018-05-16,MathEase,"Differential, Equations, Calculus","Understanding differential equations through real-life models.","Book","Math","CollegeOfEngineering"
Ethics in Modern Society,Grace Morals,2019-12-07,ThinkersPub,"Ethics, Morality, Philosophy","Ethical theories and their application in modern issues.","Article","History","CollegeOfLaw"
Environmental Science Today,Max Green,2023-04-11,EcoBooks,"Environment, Sustainability, Climate","Discusses key environmental issues and solutions.","Article","Science","CollegeOfEngineering"
Natural Language Processing with AI,Luke Syntax,2023-09-08,AIExpress,"NLP, Language, Machine Learning","A look into how machines understand human language.","Research","Computer","CollegeOfComputerScience"
